X,Y
5000,5.19964e+08
4900,5.03788e+08
4800,4.76408e+08
4700,4.59774e+08
4600,4.3957e+08
4500,4.19632e+08
4400,4.0295e+08
4300,3.8508e+08
4200,3.66313e+08
4100,3.48536e+08
4000,3.31245e+08
3900,3.15254e+08
3800,2.99222e+08
3700,2.81958e+08
3600,2.66557e+08
3500,2.59791e+08
3400,2.36574e+08
3300,2.25628e+08
3200,2.08665e+08
3100,1.99445e+08
3000,1.82755e+08
2900,1.7213e+08
2800,1.59347e+08
2700,1.49438e+08
2600,1.41142e+08
2500,1.26898e+08
2400,1.16496e+08
2300,1.07844e+08
2200,9.63065e+07
2100,8.82084e+07
2000,7.93335e+07
1900,7.16322e+07
1800,6.43475e+07
1700,5.6845e+07
1600,5.00348e+07
1500,4.47978e+07
1400,3.83108e+07
1300,3.32353e+07
1200,2.79334e+07
1100,2.39793e+07
1000,1.95842e+07
