X,Y
5000,5.02175e+08
4900,4.86546e+08
4800,4.6374e+08
4700,4.4038e+08
4600,4.23073e+08
4500,4.04166e+08
4400,3.87086e+08
4300,3.67347e+08
4200,3.50258e+08
4100,3.29417e+08
4000,3.17283e+08
3900,3.00626e+08
3800,2.82724e+08
3700,2.78118e+08
3600,2.57146e+08
3500,2.41798e+08
3400,2.30827e+08
3300,2.15081e+08
3200,2.01538e+08
3100,1.92612e+08
3000,1.7842e+08
2900,1.6586e+08
2800,1.54657e+08
2700,1.41651e+08
2600,1.31512e+08
2500,1.23064e+08
2400,1.12279e+08
2300,1.02887e+08
2200,9.36801e+07
2100,8.52201e+07
2000,8.40804e+07
1900,7.40778e+07
1800,6.9844e+07
1700,6.13166e+07
1600,5.68672e+07
1500,5.39854e+07
1400,4.47579e+07
1300,3.71851e+07
1200,3.44426e+07
1100,3.44158e+07
1000,2.52976e+07
