X,Y
3600,14544
3400,9483.85
5000,9336.12
4900,9292.41
4300,9255.05
4500,9069.09
4400,8917.89
4600,8776.41
4100,8736.83
4200,8721.49
2400,8677.39
3800,8677.38
4700,8646.43
4800,8586.29
3500,8584.09
3900,8563.22
3700,8384.37
4000,8134.38
3100,7902.92
2000,7759.97
1100,7563.81
3200,7516.01
2500,7471.48
3300,7403.73
1900,7365.9
2200,7358.43
3000,7337.05
1200,7316.44
2300,7312.36
1400,7298.23
1300,7225.12
1700,7194.94
2700,7188.37
1500,7173.42
2800,7173.2
2600,7161.07
2900,7149.09
2100,7096.18
1800,7075.46
1600,6931.1
1000,6857.74
