X,Y
2000,7613.52
1400,7512.13
1800,7499.16
2600,7381.99
2500,7350.15
1300,7309.85
2100,7270.48
5000,7221.26
2400,7193.72
2700,7157.81
4900,7102.88
2200,7065.81
4700,7063.52
1500,7063.24
4800,7051.54
4500,7031.54
4600,7017.01
4200,7011.11
1700,7009.05
4400,6975.95
4100,6966.14
4300,6916.92
3600,6907.31
1000,6898.98
4000,6896.15
2300,6889.62
3800,6876.71
1600,6876.24
3500,6865.46
3700,6862.49
3400,6860.26
3200,6792.41
3900,6786.18
1100,6780.45
3100,6778.21
3300,6777.45
2800,6755.81
3000,6751.79
2900,6713.18
1200,6688.96
1900,6642.36
