X,Y
5000,141106
4900,132304
4800,128648
4700,119282
4600,116390
4400,114758
4500,111269
4200,105136
4300,102405
4100,99325
4000,88798.6
3900,86703.7
3800,80923.8
3700,77412
3600,73814
3500,71957.4
3400,67542
3300,64949.8
3100,60784.6
3200,60755.6
3000,56967.3
2900,51422.3
2800,48013.5
2700,45151.6
2600,43752.6
2500,41345.2
2400,38170.5
2300,33288.3
2200,32406.4
2100,29046.2
2000,26781.3
1900,24246.7
1800,22212.8
1700,20689.1
1600,18213.7
1500,15502.9
1400,14282.7
1200,13357.6
1300,12925.6
1100,8970.62
1000,7413.04
