X,Y
5000,4880.53
4800,4807.09
4900,4762.98
4700,4720.67
4600,4538.89
4500,4299.13
4300,4092.23
4400,3980.38
4200,3949.44
4100,3889.1
3900,3858.66
3700,3830.8
3800,3750.72
4000,3663.68
3600,3523.74
3500,3438.54
3400,3217.36
3300,3184.86
3200,2906.76
3100,2765.2
3000,2626.8
2700,2587.56
2900,2526.76
2800,2451.42
2400,2336.06
2600,2285.06
2500,2250.94
2200,2089.46
2300,2053.36
2000,1969.62
2100,1872.14
1900,1659.36
1700,1619.88
1800,1497.2
1600,1425.4
1500,1314.46
1400,1241.08
1300,1091.16
1200,960.36
1000,908.52
1100,888.84
