X,Y
5000,4571.13
4900,4365.9
4800,4339.51
4700,4267.57
4600,4170.7
4500,4007.55
4400,3883.3
4300,3789.02
4200,3695.36
4100,3605.92
4000,3514.1
3900,3450.42
3800,3293.98
3700,3246.84
3600,3147.66
3500,3033.12
3400,2930.68
3300,2882.44
3200,2765.2
3100,2705.62
3000,2590.66
2900,2485.56
2800,2409.66
2700,2311.14
2600,2217.58
2500,2118.12
2400,2023.04
2300,1914.96
2200,1839.4
2100,1769.38
2000,1676.12
1900,1572.38
1800,1505.6
1700,1425.16
1600,1334.04
1500,1253.32
1400,1140.08
1300,1054.18
1200,984.02
1100,891.5
1000,847.46
