X,Y
4900,4.45655e+07
4800,4.21312e+07
4700,4.03497e+07
4600,3.82554e+07
4500,3.61527e+07
4300,3.60723e+07
4400,3.47996e+07
4200,3.13657e+07
4100,2.92374e+07
4000,2.80242e+07
3800,2.63518e+07
3900,2.6263e+07
3700,2.48972e+07
3600,2.34813e+07
3500,2.24137e+07
3400,2.00233e+07
3300,1.87578e+07
2900,1.85592e+07
3200,1.75752e+07
3100,1.67117e+07
3000,1.62744e+07
2800,1.35051e+07
2700,1.26786e+07
2600,1.26524e+07
2500,1.16403e+07
2400,9.71635e+06
2300,8.82636e+06
2200,8.15871e+06
2100,7.83888e+06
2000,6.66237e+06
1900,6.12702e+06
1800,5.59814e+06
1700,4.75964e+06
1600,4.2124e+06
1500,3.73011e+06
1400,3.14842e+06
1300,2.7313e+06
1200,2.32113e+06
1100,1.88116e+06
1000,1.58513e+06
