X,Y
4500,4.33573e+07
4900,3.83214e+07
4800,3.68859e+07
4700,3.53289e+07
4600,3.4133e+07
4200,3.35881e+07
3900,3.08264e+07
3400,3.02803e+07
4400,2.97604e+07
4300,2.88293e+07
4100,2.67568e+07
4000,2.60799e+07
3800,2.35635e+07
3700,2.32431e+07
3600,2.19457e+07
3500,2.05614e+07
3300,1.85937e+07
3100,1.82029e+07
3200,1.68395e+07
3000,1.49728e+07
2900,1.42121e+07
2700,1.25073e+07
2800,1.23107e+07
2600,1.05866e+07
2500,9.94559e+06
2400,9.60217e+06
2300,7.79063e+06
2200,7.21589e+06
2100,6.77223e+06
2000,6.25529e+06
1900,5.51174e+06
1800,5.00445e+06
1700,4.794e+06
1600,3.78852e+06
1500,3.48658e+06
1400,2.97941e+06
1300,2.69232e+06
1200,1.93975e+06
1100,1.57603e+06
1000,1.24429e+06
