X,Y
4900,5.16895e+08
4800,4.83352e+08
4700,4.8143e+08
4300,4.42395e+08
4600,4.3687e+08
4500,4.17039e+08
4400,4.14548e+08
4200,3.61994e+08
4100,3.48743e+08
3900,3.48124e+08
4000,3.37631e+08
3800,3.07894e+08
3500,2.98795e+08
3700,2.90213e+08
3600,2.78925e+08
3400,2.56702e+08
3300,2.39387e+08
3200,2.14349e+08
3100,1.99701e+08
3000,1.83691e+08
2900,1.71442e+08
2800,1.62069e+08
2700,1.54088e+08
2600,1.40638e+08
2500,1.27578e+08
2400,1.17496e+08
2300,1.06981e+08
2200,1.00096e+08
2100,9.25211e+07
2000,8.22324e+07
1900,7.81996e+07
1800,6.62764e+07
1700,5.92228e+07
1600,5.24476e+07
1500,4.55358e+07
1400,3.99373e+07
1300,3.53458e+07
1200,2.93267e+07
1100,2.52925e+07
1000,2.00525e+07
