X,Y
4900,5.09238e+08
4800,4.9376e+08
4700,4.80771e+08
4600,4.65637e+08
4500,4.29651e+08
4400,4.03129e+08
4300,3.83442e+08
4200,3.74003e+08
4100,3.39042e+08
4000,3.21002e+08
3800,3.12906e+08
3900,3.01777e+08
3700,2.85465e+08
3600,2.58683e+08
3500,2.45983e+08
3400,2.38195e+08
3300,2.30408e+08
3200,2.1803e+08
3100,1.99736e+08
2900,1.99677e+08
3000,1.95052e+08
2800,1.86685e+08
2700,1.51221e+08
2600,1.3626e+08
2500,1.28283e+08
2400,1.15845e+08
2000,1.06517e+08
2300,1.06055e+08
2100,1.03231e+08
2200,9.67876e+07
1900,7.61318e+07
1800,7.1655e+07
1700,7.03442e+07
1600,5.16162e+07
1500,4.55642e+07
1400,4.38458e+07
1300,3.55426e+07
1200,3.02485e+07
1100,2.52888e+07
1000,2.14046e+07
