X,Y
4500,52676.7
4800,49351.4
4900,48544.8
4700,45779.8
4300,44985.7
4600,44835.2
4200,43065.5
4400,42689.5
4100,40254.6
4000,39256.4
3900,38354.7
3700,37627.6
3800,36756.2
3500,35768.9
3600,35477.8
3300,35206.7
3400,34805.6
3100,31696.8
3200,31384
3000,29746
2800,28672.9
2900,28190.7
2700,27420.5
2600,26656
2500,26209.9
2400,23575.3
2300,23530.8
2200,21715.8
2100,21053.8
2000,20142.2
1900,19446.7
1800,18372.5
1700,16071.5
1600,15261.1
1500,15044
1400,13773.5
1300,12792.4
1200,11584.2
1100,10854.1
1000,9842.6
