X,Y
4800,48001.3
4900,46579.9
4700,46003.2
4400,44579.7
4600,43835.8
4500,43255.2
4300,42200.4
4200,39686.4
4100,38535.6
4000,37496.4
3900,36303
3800,35547.6
3700,34647.3
3600,33521.4
3500,32925.5
3400,32564.3
3300,31610.3
3100,29569.2
3200,29290.1
2900,29017.5
3000,28804.3
2800,27923.7
2700,25599.2
2000,24898.3
2600,24063.7
2500,23418.8
2400,21789.1
2200,20975.8
2300,20814.5
2100,19641
1900,17479.5
1800,17021.8
1700,16421.6
1600,14894.8
1500,14706.9
1400,13479.6
1300,11935.6
1200,10183
1100,9320.5
1000,8384.1
