X,Y
4300,59372.5
4400,46136
2900,45922.9
4800,45778.1
4900,44351.8
4700,43578.2
4600,41766.6
4500,40399.7
4200,36183.6
4100,36024.7
3100,35554.9
3000,34912.9
3800,33844
4000,33465.4
3900,33287
3200,32021.9
3700,31850.9
3600,30921.7
3500,30751.7
2300,30719
3300,29651.5
3400,29492.5
2400,29063.5
2800,29034.7
2700,27314.9
2600,27138.5
2500,26223
2200,21172.5
2100,20542.4
2000,19795.4
1900,17836.4
1800,17061.5
1700,16201.2
1600,15771.6
1500,15363.4
1400,13731.1
1300,13421.8
1200,11065.1
1000,10978.7
1100,10658.4
