X,Y
4900,1.22711e+07
4800,1.15675e+07
4700,1.10664e+07
4600,1.03945e+07
4500,9.77613e+06
4400,9.25935e+06
4300,8.95721e+06
4200,8.43211e+06
4100,7.98083e+06
4000,7.5116e+06
3900,7.18697e+06
3800,6.76456e+06
3700,6.40429e+06
3600,5.8898e+06
3500,5.58313e+06
3400,5.15342e+06
3300,4.94168e+06
3200,4.58801e+06
3100,4.33596e+06
3000,4.14277e+06
2900,3.75312e+06
2800,3.46086e+06
2700,3.30836e+06
2600,3.02784e+06
2500,2.76679e+06
2400,2.50757e+06
2300,2.27802e+06
2200,2.10666e+06
2100,1.85398e+06
2000,1.70076e+06
1900,1.50373e+06
1800,1.34566e+06
1700,1.19927e+06
1600,1.01729e+06
1500,888804
1400,753503
1300,649291
1200,537786
1100,442658
1000,362587
