X,Y
4900,5.06498e+08
4800,4.83556e+08
4700,4.80584e+08
4600,4.45869e+08
4500,4.25641e+08
4400,4.08708e+08
4300,3.92996e+08
4200,3.79096e+08
4100,3.45921e+08
4000,3.33428e+08
3900,3.1201e+08
3800,2.98886e+08
3700,2.83308e+08
3600,2.63868e+08
3500,2.50916e+08
3400,2.34213e+08
3300,2.26684e+08
3200,2.07966e+08
3100,1.93579e+08
3000,1.85202e+08
2900,1.68584e+08
2800,1.6051e+08
2700,1.48474e+08
2600,1.35328e+08
2500,1.2689e+08
2400,1.1849e+08
2300,1.12742e+08
2200,9.71585e+07
2100,8.84118e+07
2000,8.15217e+07
1900,7.25673e+07
1800,6.45176e+07
1700,5.73314e+07
1600,5.13374e+07
1500,4.59138e+07
1400,3.904e+07
1300,3.36265e+07
1200,2.91077e+07
1100,2.42939e+07
1000,1.99034e+07
