X,Y
4900,3.08125e+06
4800,2.95337e+06
4700,2.79527e+06
4600,2.71362e+06
4500,2.61381e+06
4400,2.50182e+06
4300,2.37588e+06
4200,2.28809e+06
4100,2.24878e+06
4000,2.16882e+06
3900,1.91149e+06
3800,1.81042e+06
3700,1.72428e+06
3600,1.61654e+06
3500,1.50751e+06
3400,1.41757e+06
3300,1.31681e+06
3200,1.22797e+06
3100,1.14757e+06
3000,1.07546e+06
2900,989225
2800,923350
2700,858209
2600,805302
2500,774214
2400,681393
2300,642347
2200,593395
2100,536060
2000,506935
1900,449096
1800,414133
1700,374707
1600,326164
1500,295800
1400,264620
1300,232983
1200,204043
1100,180432
1000,155242
