X,Y
4700,3.63436e+07
4900,3.57225e+07
4600,3.43143e+07
4800,3.35912e+07
4500,2.83868e+07
4400,2.76409e+07
4300,2.61239e+07
4200,2.55226e+07
4100,2.38869e+07
4000,2.32293e+07
3900,2.1855e+07
3800,2.13895e+07
3700,1.96767e+07
3600,1.83131e+07
3500,1.79448e+07
3400,1.67104e+07
3300,1.56633e+07
3100,1.49223e+07
2900,1.47788e+07
3200,1.4367e+07
3000,1.31079e+07
2800,1.15179e+07
2700,1.00186e+07
2600,9.36474e+06
2500,8.87832e+06
2400,8.0672e+06
2300,7.52932e+06
2200,6.62962e+06
2100,6.17515e+06
2000,5.59883e+06
1900,5.00196e+06
1800,4.35709e+06
1700,3.8395e+06
1600,3.45652e+06
1500,2.90405e+06
1400,2.51076e+06
1300,2.11035e+06
1200,1.79645e+06
1100,1.45213e+06
1000,1.18839e+06
