X,Y
4900,1.22291e+07
4800,1.13429e+07
4700,1.09816e+07
4600,1.0771e+07
4500,1.02963e+07
4400,9.91682e+06
4300,9.3816e+06
4200,8.60519e+06
4100,8.59265e+06
4000,7.96766e+06
3900,7.58628e+06
3800,7.12839e+06
3700,6.53382e+06
3600,6.50959e+06
3500,6.07789e+06
3400,5.6095e+06
3300,5.01172e+06
3200,4.69917e+06
3100,4.43426e+06
3000,4.09979e+06
2900,3.8716e+06
2800,3.53541e+06
2700,3.29808e+06
2600,3.04114e+06
2500,2.76897e+06
2400,2.53425e+06
2300,2.35183e+06
2200,2.13871e+06
2100,1.9784e+06
2000,1.78666e+06
1900,1.58334e+06
1800,1.39148e+06
1700,1.20919e+06
1600,1.06891e+06
1500,895060
1400,757285
1300,634399
1200,528934
1100,452158
1000,378709
