X,Y
4900,41752.3
4700,41546
4800,41339.4
4500,41010.9
4600,39877.9
4200,36337.8
4400,36185.2
4100,35595.5
4300,35386.8
4000,33439.3
3900,33346
3800,32869.2
3500,32000.5
3700,31963.3
3400,30777.6
3600,30125
3200,29268.6
3300,27857.3
3100,27086.8
3000,26706.4
2900,25596.9
2000,25479.3
2800,24107.6
2700,22856.7
2600,22509.5
2500,22270.7
2400,22114.8
2200,21464.4
2300,19717.7
1900,17745.7
2100,17730.6
1800,16916.5
1500,16875.7
1700,16500.6
1600,14850.2
1400,13200.9
1300,11545.8
1200,10872.4
1000,10847.5
1100,9583.4
