X,Y
4900,3.75244e+06
4800,3.31309e+06
4700,2.97947e+06
4100,2.96035e+06
4500,2.90247e+06
4600,2.82997e+06
4300,2.64132e+06
4400,2.57213e+06
4200,2.34613e+06
4000,2.07529e+06
3900,1.96137e+06
3800,1.82253e+06
3700,1.69538e+06
3600,1.63279e+06
3500,1.52033e+06
3400,1.43416e+06
3300,1.32518e+06
3200,1.22755e+06
3100,1.16318e+06
3000,1.12296e+06
2900,1.05077e+06
2800,934944
2700,895735
2600,804584
2500,723310
2400,678497
2300,631914
2200,572904
2100,528008
2000,480470
1900,433769
1800,396844
1700,355515
1600,325461
1500,293628
1400,262916
1300,232719
1200,212979
1100,182048
1000,156735
