X,Y
1600,10803.5
1700,10047.9
2000,9896.77
1400,9747.12
4600,9496.84
1900,8814.91
1000,8765.36
1100,8590.48
1800,8353.86
4900,8325.39
4300,8123.44
4700,8116.72
4500,8110.38
1200,8074.29
4400,7974.24
3900,7969.48
3800,7801.08
4100,7732.29
2100,7663.98
2800,7647.59
4800,7592.31
2400,7581.8
4000,7568.43
1500,7553.48
3600,7503.84
1300,7471.98
2600,7467.5
4200,7458.84
3500,7401.44
3700,7320.01
3300,7291.53
3200,7266
2700,7240.42
2500,7231.22
3100,7204.45
3400,7175.03
2900,7078.96
2300,6978.28
2200,6951.28
3000,6931.7
