X,Y
4000,7170.56
4900,7036.88
4700,6945.21
4800,6881.87
4600,6863.02
3900,6827.63
4100,6804.94
4500,6785.01
4200,6726.91
3800,6720.3
4400,6701
4300,6657.35
1600,6645.38
3700,6625.09
3500,6608.11
3600,6597.67
3100,6549.86
2900,6544.1
2700,6532.36
3400,6531.08
3300,6522.88
2600,6503.69
3200,6501.12
2800,6476.27
2400,6469.51
3000,6451.68
2500,6448.09
2300,6399.86
2200,6380.31
2100,6378.17
2000,6360.23
1900,6357.57
1700,6330.36
1800,6296.2
1300,6274.33
1100,6266.04
1200,6192.88
1400,6187.32
1500,6184.79
1000,6158.62
