X,Y
3900,6729.26
4500,6675.82
3800,6616.27
4900,6596.87
4700,6562.54
2100,6556.17
4600,6556.14
4800,6527.77
4000,6501.13
4200,6487.26
2300,6438.77
3500,6417.71
4300,6409.39
4400,6395.31
2400,6392.15
2800,6352.1
3700,6339.55
4100,6334.31
2500,6333.12
2700,6312.71
1600,6291.22
3600,6276.35
3400,6272.68
2200,6271.45
2600,6266.27
3300,6238.45
3100,6217.09
3200,6176.2
3000,6095.51
2900,6094.66
2000,6063.38
1400,5983.2
1100,5969.2
1300,5944.19
1900,5940.38
1000,5906.22
1800,5885.12
1700,5875.63
1500,5830.9
1200,5824.74
