X,Y
4700,6969.09
4800,6929.43
4900,6838.72
4600,6819.82
4100,6800.2
4400,6782.51
4300,6740.83
4500,6703.91
4200,6698.37
3700,6690.84
3900,6678.36
3500,6657.42
3800,6657.33
3600,6622.29
3200,6617.38
4000,6610.9
3400,6607.09
3300,6577
3100,6484.39
3000,6474.71
2800,6472.1
2900,6448.08
2600,6443.43
2700,6418.43
2500,6414.94
2400,6389.22
2200,6369.03
2300,6355.32
2100,6334.76
1200,6310.57
2000,6298.03
1800,6292.53
1900,6272.08
1600,6250.08
1500,6246.97
1700,6244.99
1000,6221.76
1300,6221.35
1100,6217.65
1400,6169.52
