X,Y
4100,8980.79
4200,8611.74
3800,8563.49
3900,8504.4
4300,8439.03
4000,8434.21
4400,7751.74
4900,7136.98
4500,6904.81
4800,6845.59
4600,6812.31
4700,6788.83
3600,6754.62
1700,6747.69
3300,6626.74
3700,6623.04
2200,6531.19
3000,6526.42
3400,6514.32
3100,6486.53
2800,6481.4
2900,6442.06
3500,6381.14
3200,6348.71
1900,6325.46
1800,6272.49
1600,6264.62
2300,6216.46
1300,6213.15
1400,6200.22
2600,6177.55
2000,6164.39
2100,6115.63
2400,6111.2
2700,6108.79
2500,6093.58
1500,6090.78
1200,6081.89
1100,5994.86
1000,5966.44
