X,Y
4800,1.43106e+06
4900,1.37656e+06
4700,1.33546e+06
4600,1.31778e+06
4500,1.28337e+06
4400,1.23371e+06
4300,1.22186e+06
4200,1.17765e+06
4100,1.13143e+06
4000,1.06953e+06
3900,1.05398e+06
3800,1.02221e+06
3700,946853
3600,939545
3500,896381
3400,853161
3300,819774
3200,805776
3100,787132
2900,743611
3000,736827
2800,675466
2700,659890
2600,625279
2500,605997
2400,567633
2300,545618
2200,505041
2100,473676
2000,453246
1900,431248
1800,406865
1700,377903
1600,345715
1500,316425
1400,291701
1300,266767
1200,256716
1100,218686
1000,195439
