X,Y
950000,6.0236e+08
925000,4.90927e+08
975000,4.90527e+08
725000,4.56869e+08
750000,4.06289e+08
900000,4.04939e+08
825000,3.786e+08
850000,3.67788e+08
775000,3.65578e+08
800000,3.61588e+08
675000,3.61314e+08
875000,3.59195e+08
525000,3.5357e+08
700000,3.38061e+08
500000,2.94373e+08
550000,2.93656e+08
650000,2.81322e+08
575000,2.75053e+08
625000,2.582e+08
600000,2.55631e+08
450000,2.50888e+08
350000,2.3287e+08
475000,2.30093e+08
400000,1.90539e+08
425000,1.8831e+08
375000,1.86219e+08
325000,1.81942e+08
300000,1.40619e+08
200000,1.36032e+08
275000,1.23174e+08
250000,1.13359e+08
225000,1.02534e+08
175000,8.72551e+07
150000,7.15744e+07
125000,5.90175e+07
100000,4.11176e+07
