X,Y
975000,1.6578e+08
750000,1.16007e+08
950000,9.61606e+07
925000,9.41926e+07
675000,8.43288e+07
600000,7.79481e+07
575000,7.70113e+07
650000,6.96462e+07
875000,6.8892e+07
775000,6.86149e+07
850000,6.59358e+07
825000,6.49488e+07
900000,6.43676e+07
800000,6.00274e+07
725000,5.80304e+07
700000,5.46071e+07
550000,5.10759e+07
625000,4.93402e+07
475000,4.59917e+07
525000,3.82306e+07
500000,3.64651e+07
450000,3.34354e+07
425000,3.17308e+07
400000,2.85553e+07
350000,2.49879e+07
375000,2.47344e+07
300000,2.34137e+07
325000,2.31438e+07
275000,2.0869e+07
250000,2.08169e+07
125000,1.55387e+07
175000,1.48222e+07
225000,1.47782e+07
200000,1.36215e+07
150000,1.30344e+07
100000,9.26873e+06
