X,Y
925000,6.94492e+08
850000,6.85422e+08
975000,6.72805e+08
950000,6.68576e+08
825000,6.6724e+08
900000,6.63904e+08
775000,6.0063e+08
875000,5.79842e+08
800000,5.36322e+08
750000,5.128e+08
725000,4.87853e+08
700000,4.80322e+08
675000,4.71623e+08
650000,4.49229e+08
625000,4.42254e+08
600000,4.12221e+08
575000,4.00068e+08
550000,3.70363e+08
525000,3.59229e+08
500000,3.36584e+08
475000,3.10388e+08
450000,3.02066e+08
425000,2.85168e+08
400000,2.66548e+08
375000,2.62203e+08
350000,2.26547e+08
325000,2.06745e+08
300000,1.90021e+08
275000,1.74932e+08
250000,1.59191e+08
200000,1.42304e+08
225000,1.41199e+08
175000,1.16669e+08
150000,1.07325e+08
125000,7.83971e+07
100000,7.37431e+07
