X,Y
950000,3.32294e+08
925000,3.28205e+08
975000,3.20484e+08
875000,3.06353e+08
800000,3.0012e+08
900000,2.97985e+08
825000,2.86066e+08
850000,2.80013e+08
775000,2.78602e+08
550000,2.66226e+08
725000,2.58614e+08
750000,2.56398e+08
700000,2.36614e+08
525000,2.31694e+08
625000,2.23883e+08
500000,2.22239e+08
675000,2.21679e+08
475000,2.20299e+08
575000,2.15708e+08
600000,2.13715e+08
650000,2.12207e+08
425000,1.86385e+08
450000,1.79773e+08
400000,1.63812e+08
375000,1.376e+08
350000,1.30591e+08
325000,1.20388e+08
300000,1.12915e+08
275000,1.01937e+08
250000,8.75665e+07
225000,7.59318e+07
200000,6.51216e+07
175000,6.15392e+07
150000,4.49349e+07
125000,4.03538e+07
100000,3.1109e+07
