X,Y
475000,7.43558e+08
500000,7.37427e+08
450000,6.33546e+08
325000,6.27813e+08
425000,5.81093e+08
250000,5.65192e+08
300000,4.76071e+08
350000,4.71617e+08
400000,4.67803e+08
375000,4.52929e+08
225000,4.25316e+08
900000,4.16036e+08
850000,3.73297e+08
875000,3.47891e+08
275000,3.4647e+08
975000,3.31077e+08
950000,3.28684e+08
800000,3.28565e+08
925000,3.1737e+08
825000,3.08897e+08
775000,2.8835e+08
700000,2.86655e+08
150000,2.79713e+08
625000,2.64412e+08
200000,2.63789e+08
750000,2.57238e+08
675000,2.54129e+08
725000,2.40316e+08
575000,2.38273e+08
650000,2.31622e+08
600000,2.31093e+08
550000,1.90598e+08
525000,1.75754e+08
175000,1.73254e+08
125000,1.50214e+08
100000,1.45435e+08
