X,Y
925000,3.83776e+08
950000,3.05777e+08
975000,2.92724e+08
900000,2.3623e+08
875000,2.34213e+08
850000,1.46197e+08
825000,1.44077e+08
800000,1.25534e+08
775000,4.83494e+07
750000,4.24994e+07
700000,4.1982e+07
725000,4.19508e+07
675000,4.03806e+07
625000,3.83295e+07
650000,3.75217e+07
600000,3.71575e+07
575000,3.36979e+07
475000,3.34643e+07
500000,3.17779e+07
550000,3.1681e+07
525000,3.08814e+07
375000,2.74488e+07
425000,2.61859e+07
450000,2.50147e+07
400000,2.2769e+07
350000,2.24325e+07
325000,1.90178e+07
300000,1.81422e+07
275000,1.60369e+07
250000,1.49946e+07
225000,1.41021e+07
200000,1.15623e+07
175000,1.03945e+07
150000,8.30503e+06
125000,7.75303e+06
100000,5.79401e+06
