X,Y
4900,3.36601e+07
4800,3.343e+07
4700,3.26355e+07
4600,3.1772e+07
4500,2.95268e+07
4400,2.67812e+07
4300,2.5397e+07
4200,2.44164e+07
4000,2.34708e+07
4100,2.31096e+07
3800,2.234e+07
3900,2.19502e+07
3700,1.88759e+07
3500,1.77604e+07
3600,1.77595e+07
3400,1.58389e+07
3300,1.49423e+07
3200,1.44599e+07
3100,1.36236e+07
3000,1.22327e+07
2900,1.1467e+07
2800,1.05929e+07
2700,9.8445e+06
2600,9.51437e+06
2500,8.40646e+06
2400,7.72438e+06
2300,7.07492e+06
2200,6.44066e+06
2100,6.22014e+06
2000,5.58853e+06
1900,4.73659e+06
1800,4.22513e+06
1700,3.73445e+06
1600,3.2758e+06
1500,2.85179e+06
1400,2.43496e+06
1300,2.05894e+06
1200,1.71357e+06
1100,1.45735e+06
1000,1.11931e+06
