X,Y
4900,4.921e+08
4800,4.8051e+08
4700,4.76712e+08
4600,4.36631e+08
4400,4.18731e+08
4500,4.17811e+08
4300,3.92717e+08
4200,3.9152e+08
4000,3.61755e+08
4100,3.4426e+08
3900,3.26841e+08
3800,3.03494e+08
3700,2.7737e+08
3600,2.64579e+08
3500,2.47622e+08
3400,2.35317e+08
3300,2.20703e+08
3200,2.19211e+08
3100,1.93658e+08
3000,1.90067e+08
2900,1.692e+08
2800,1.67434e+08
2700,1.47666e+08
2600,1.36563e+08
2400,1.30357e+08
2500,1.25777e+08
2300,1.05679e+08
2200,1.00195e+08
2100,8.6723e+07
2000,7.83679e+07
1900,7.0888e+07
1800,6.64926e+07
1700,5.97858e+07
1600,5.30816e+07
1500,4.38225e+07
1400,3.82748e+07
1300,3.29759e+07
1200,2.80275e+07
1100,2.47333e+07
1000,2.05753e+07
