X,Y
4900,4.80335e+08
4800,4.6145e+08
4700,4.55596e+08
4600,4.38732e+08
4500,4.05739e+08
4400,4.00244e+08
4300,3.65618e+08
4000,3.55892e+08
4200,3.43909e+08
4100,3.279e+08
3900,2.98225e+08
3800,2.78782e+08
3400,2.74099e+08
3700,2.63665e+08
3600,2.55114e+08
3500,2.37797e+08
3300,2.21091e+08
3200,2.13698e+08
3100,1.88774e+08
3000,1.72127e+08
2900,1.61112e+08
2800,1.52434e+08
2700,1.39008e+08
2600,1.3426e+08
2500,1.24666e+08
2400,1.20767e+08
2300,1.07704e+08
2200,9.63558e+07
2100,8.82736e+07
2000,7.65703e+07
1900,7.0662e+07
1800,6.49691e+07
1700,5.77152e+07
1600,5.02563e+07
1500,4.78237e+07
1400,3.84027e+07
1300,3.6217e+07
1100,3.37191e+07
1200,3.03387e+07
1000,2.47158e+07
