X,Y
4600,5.75022e+08
4900,5.61324e+08
4800,5.08184e+08
4400,4.83168e+08
4700,4.73513e+08
4500,4.55786e+08
4100,4.45691e+08
4300,4.30957e+08
4000,3.88511e+08
4200,3.75246e+08
3700,3.517e+08
3900,3.40871e+08
3800,3.24177e+08
3600,3.1207e+08
3500,2.71094e+08
3400,2.60376e+08
3300,2.59005e+08
3200,2.34372e+08
3100,2.2194e+08
3000,2.16043e+08
2800,1.92673e+08
2900,1.92339e+08
2700,1.55108e+08
2600,1.52697e+08
2500,1.41539e+08
2400,1.33968e+08
2300,1.18265e+08
2100,1.07545e+08
2200,1.05769e+08
2000,8.04751e+07
1900,7.88435e+07
1700,6.95353e+07
1800,6.69963e+07
1600,6.68695e+07
1500,5.25619e+07
1400,4.16804e+07
1300,4.13232e+07
1200,3.03685e+07
1100,2.73616e+07
1000,2.29959e+07
