X,Y
4900,5.28118e+08
4800,5.12773e+08
4700,4.68173e+08
4600,4.44583e+08
4500,4.27798e+08
4300,4.01606e+08
4400,3.93009e+08
4200,3.73183e+08
4100,3.40836e+08
3900,3.22894e+08
3800,3.21603e+08
4000,3.14007e+08
3700,3.02055e+08
3600,2.68947e+08
3500,2.61797e+08
3400,2.31062e+08
3300,2.19278e+08
3200,2.16805e+08
3100,1.94811e+08
3000,1.76094e+08
2900,1.67325e+08
2400,1.61859e+08
2800,1.59983e+08
2700,1.43432e+08
2500,1.35916e+08
2600,1.31081e+08
2300,1.16022e+08
2200,1.10113e+08
2100,9.29701e+07
2000,9.11262e+07
1900,7.88947e+07
1800,7.12749e+07
1700,6.41177e+07
1600,6.39127e+07
1500,5.13773e+07
1400,4.30866e+07
1300,3.72052e+07
1200,3.51429e+07
1100,2.44681e+07
1000,2.18417e+07
