X,Y
4500,46513.8
4400,44102.4
4300,43440.5
4600,43344.6
3900,43002.1
4800,41759.4
4900,41568.5
4700,40442.5
4200,40435.9
3800,38941.6
4100,38386.9
4000,35619.6
3700,31052.4
3600,30267.3
3500,29558.3
3200,28928.1
3300,28435.5
3400,28026.8
3100,25354.9
2600,25205.1
2900,25116.1
3000,24711.8
2800,24621
2700,24368.2
2500,22044.2
2400,21281
2100,19719.4
2300,19380.7
2200,18834
2000,17717.6
1800,15920
1900,15394.3
1700,14856.1
1600,13609.5
1500,13016.2
1400,12202.3
1100,11659.8
1300,10670.7
1200,9868
1000,8444.8
