X,Y
4700,56534
4600,56064
4500,55962.3
4900,54576.5
4800,54371.1
4300,54030.1
4200,49923.6
4400,49892.4
3700,46580.9
4000,46345.1
4100,45928.2
3900,43148.4
3800,42199.3
3600,40301
3200,39040.6
3500,38621.5
3400,37448.5
3300,36250.4
3100,36117.3
3000,33396.8
2700,32176.7
2900,32024.3
2800,30505.5
2500,29289.3
2600,29060.7
2400,26908.7
2300,25387.6
2200,24511.8
2100,24274.3
2000,22399.4
1900,21768.8
1800,20263.6
1700,18888.6
1600,17276.6
1500,16188.6
1400,15040.4
1300,14238.6
1200,12904.3
1100,11991.9
1000,10845.5
