X,Y
4600,52902.6
4900,51888.5
4800,50842.9
4700,48673
4400,46698.5
4300,46558.1
4500,45748.1
4200,44796.5
4100,43650.7
4000,41250
3900,39307
3700,38074.6
3800,38059.6
3500,36668.5
3600,36473.2
3400,33821.3
3300,32519
3100,31687.9
3200,31686.5
3000,31068
2900,30561.8
2800,27855.1
2700,27225.4
2500,26222.1
2600,25954.7
2300,25178.1
2400,24626.9
2000,21663.3
2200,21335
2100,20983.3
1800,18499.5
1900,18278.5
1700,16281.3
1600,15418.6
1500,14278.7
1400,13801.7
1300,12229.8
1200,11318.1
1100,10412.6
1000,9323
