X,Y
4900,49653.9
4800,45386
4500,44809.3
4700,44163
4600,43365.4
4300,42343.3
4100,41715
4400,41646.2
4200,39357
3800,38577
4000,37645.8
3700,36994.1
3900,36510.5
3400,34088.6
3600,34002.2
3500,32654.5
3300,30827.9
3100,30797.6
3200,30287
2900,30077.7
3000,27937.7
2800,26061.7
2700,25208
2400,25171.1
2600,24429.4
2500,23455.4
2000,22039.8
2300,21433.3
2100,21348.4
2200,20536.4
1900,17563.1
1800,16705.8
1700,15777.3
1600,14882.7
1100,14609.5
1500,13838.6
1400,12970
1300,12255.8
1200,11104.2
1000,9449.8
