X,Y
5000,4.73838e+07
4900,4.48169e+07
4800,4.28408e+07
4700,4.10323e+07
4600,3.94309e+07
4500,3.72709e+07
4400,3.54813e+07
4300,3.35347e+07
4200,3.18105e+07
4100,3.03807e+07
4000,2.86821e+07
3900,2.69333e+07
3800,2.53777e+07
3700,2.4113e+07
3600,2.26409e+07
3500,2.13627e+07
3400,1.9945e+07
3300,1.86937e+07
3200,1.75354e+07
3100,1.6277e+07
3000,1.5298e+07
2900,1.41845e+07
2800,1.31785e+07
2700,1.2173e+07
2600,1.12614e+07
2500,1.03894e+07
2400,9.55439e+06
2300,8.72663e+06
2200,8.0017e+06
2100,7.2432e+06
2000,6.60036e+06
1900,5.91209e+06
1800,5.28137e+06
1700,4.69927e+06
1600,4.12564e+06
1500,3.6186e+06
1400,3.12605e+06
1300,2.66987e+06
1200,2.27449e+06
1100,1.87253e+06
1000,1.52673e+06
