X,Y
5000,3.55685e+07
4900,3.3425e+07
4800,3.22706e+07
4700,3.1017e+07
4600,2.96371e+07
4500,2.84579e+07
4400,2.70132e+07
4300,2.56892e+07
4200,2.45726e+07
4100,2.32593e+07
4000,2.21652e+07
3900,2.10808e+07
3800,2.00109e+07
3700,1.90144e+07
3600,1.79692e+07
3500,1.68379e+07
3400,1.58428e+07
3300,1.49832e+07
3200,1.40381e+07
3100,1.31458e+07
3000,1.23296e+07
2900,1.14657e+07
2800,1.07557e+07
2700,9.91438e+06
2600,9.17949e+06
2500,8.44934e+06
2400,7.76015e+06
2300,7.08924e+06
2200,6.48503e+06
2100,5.8687e+06
2000,5.30781e+06
1900,4.78922e+06
1800,4.25324e+06
1700,3.76295e+06
1600,3.30257e+06
1500,2.8611e+06
1400,2.45909e+06
1300,2.07673e+06
1200,1.72398e+06
1100,1.42038e+06
1000,1.16304e+06
