X,Y
4700,62820.2
4800,53905
5000,53843.4
4900,53117.4
4600,53016.2
4300,52484
4400,51804.4
4200,50928.1
4500,49689.9
4100,45980.1
4000,44198.4
3900,41048.9
3800,40037.9
3500,39294.7
3600,38764.2
3400,38717.5
3700,38699.4
2600,35916.9
3000,35309.1
3100,35229.5
2900,35069.5
3200,33983.3
3300,33232.9
2800,32085.6
2700,31176.9
1900,30552
2500,29168
2400,26345.7
2300,24856.7
2200,23972.4
2100,23716
1800,20976.7
2000,20056.1
1600,18415.8
1700,16288.8
1500,15308.9
1400,14572
1300,12096.7
1200,10781.9
1100,9690.24
1000,8887.68
