X,Y
5000,41508.5
4900,40882.4
4800,40220.3
4700,39166.6
4600,38397.8
4500,37558.7
4400,36725.1
4300,35738.4
4200,35132.1
4100,33672.4
4000,32913.4
3900,32231.9
3800,31193.4
3700,30474.6
3600,29563.6
3500,28831.6
3400,27963.6
3300,27063.3
3200,26594.1
3100,25927.8
3000,24873.6
2900,23869.9
2800,22714.4
2700,21985.8
2600,21374.2
2500,21176.3
2400,19439.8
2300,18652.3
2200,17885.4
2100,17042.7
2000,16428.8
1900,15522.5
1800,14544.3
1700,13925.9
1600,13157
1500,12165.6
1400,11377.6
1300,10467
1200,9746
1100,9018.3
1000,8139.36
