X,Y
5000,1.1969e+07
4900,1.18675e+07
4800,1.15353e+07
4700,1.08737e+07
4600,1.02678e+07
4500,9.65039e+06
4400,9.24287e+06
4300,8.69726e+06
4200,8.2097e+06
4100,8.03058e+06
4000,7.4689e+06
3900,6.89587e+06
3800,6.72393e+06
3700,6.16804e+06
3600,5.87196e+06
3500,5.4598e+06
3400,5.17051e+06
3300,4.91048e+06
3200,4.65763e+06
3100,4.2337e+06
3000,3.93805e+06
2900,3.66712e+06
2800,3.55571e+06
2700,3.16728e+06
2600,2.94611e+06
2500,2.68526e+06
2400,2.47709e+06
2300,2.39261e+06
2200,2.06619e+06
2100,1.84668e+06
2000,1.69189e+06
1900,1.50857e+06
1800,1.33782e+06
1700,1.20124e+06
1600,1.0226e+06
1500,900133
1400,755324
1300,630883
1200,527778
1100,426996
1000,347279
