X,Y
4900,4.99025e+08
4800,4.93969e+08
4600,4.82227e+08
4700,4.6609e+08
4500,4.21202e+08
4400,4.0174e+08
4300,3.81987e+08
4200,3.7225e+08
3900,3.58708e+08
4100,3.57712e+08
3800,3.28268e+08
4000,3.25881e+08
3700,2.78301e+08
3500,2.7097e+08
3600,2.59116e+08
3400,2.40691e+08
3200,2.23155e+08
3300,2.18362e+08
3100,2.05575e+08
3000,1.91699e+08
2900,1.76542e+08
2800,1.66426e+08
2700,1.48826e+08
2600,1.43294e+08
2500,1.34739e+08
2400,1.3042e+08
2300,1.19234e+08
2200,1.11358e+08
2100,9.11328e+07
2000,8.14187e+07
1900,7.80011e+07
1800,7.056e+07
1700,7.04514e+07
1600,5.38873e+07
1500,4.47896e+07
1400,3.90915e+07
1300,3.63695e+07
1200,2.90907e+07
1100,2.58655e+07
1000,1.95955e+07
