X,Y
4800,1.39737e+06
4700,1.33089e+06
4900,1.32551e+06
4600,1.30895e+06
4500,1.27061e+06
4400,1.26715e+06
4200,1.21829e+06
4300,1.21239e+06
3900,1.19236e+06
4100,1.17936e+06
4000,1.1391e+06
3700,1.0973e+06
3800,1.08229e+06
3600,1.08112e+06
3500,1.03051e+06
3400,915327
3200,914973
3300,873684
3100,855860
2900,823841
3000,811063
2700,760117
2800,743464
2600,713461
2500,692832
2400,676611
2300,634680
2000,593516
2200,592883
2100,555945
1700,499657
1900,492207
1600,489471
1800,485479
1400,441422
1500,413994
1100,383602
1300,372875
1200,367467
1000,334399
