X,Y
4800,1.4251e+06
4500,1.38556e+06
4700,1.37562e+06
4900,1.37496e+06
4600,1.35877e+06
4400,1.30562e+06
4100,1.26406e+06
4300,1.23559e+06
4000,1.17714e+06
4200,1.17158e+06
3800,1.14584e+06
3700,1.10652e+06
3900,1.09493e+06
3500,1.08114e+06
3600,1.04656e+06
3400,1.03835e+06
3100,950626
3300,949144
3200,905473
2900,889573
3000,836343
2800,826898
2600,756689
2400,735137
2700,704971
2500,700226
2300,693661
2100,636947
2200,582198
2000,542135
1800,520887
1900,513644
1700,462731
1600,444725
1500,419437
1400,394488
1300,382190
1200,343202
1100,313914
1000,252884
