X,Y
4800,1.56357e+06
4900,1.42952e+06
4500,1.31608e+06
4700,1.29121e+06
4600,1.26073e+06
4400,1.21189e+06
4100,1.17134e+06
3900,1.1581e+06
4200,1.12818e+06
3800,1.12615e+06
4000,1.11037e+06
4300,1.10983e+06
3600,1.04313e+06
3700,1.01369e+06
3500,975997
3400,926405
3300,891953
3200,884131
3000,847228
2900,846171
3100,840699
2700,771189
2800,766334
2600,712611
2400,698067
2500,671544
2200,595365
2100,589436
2300,580543
2000,517832
1900,482318
1800,482007
1500,445764
1700,434778
1600,410081
1300,355321
1400,353701
1200,302109
1100,289657
1000,276111
