X,Y
5000,3.206e+06
4900,3.07945e+06
4800,2.89081e+06
4700,2.78855e+06
4600,2.60952e+06
4500,2.54747e+06
4400,2.4556e+06
4300,2.24825e+06
4200,2.22831e+06
4100,2.05356e+06
4000,1.92746e+06
3900,1.79769e+06
3800,1.71659e+06
3700,1.61974e+06
3600,1.54002e+06
3500,1.42487e+06
3400,1.32882e+06
3300,1.26608e+06
3200,1.18349e+06
3000,1.09457e+06
3100,1.09047e+06
2900,996343
2800,896742
2700,826311
2600,761058
2500,699034
2400,646483
2300,594663
2200,591543
2100,523961
2000,476478
1900,450326
1800,405960
1600,346813
1700,336735
1500,275051
1400,258150
1300,224553
1200,209385
1100,170012
1000,149885
