X,Y
4800,1.2207e+07
4900,1.21043e+07
4700,1.17713e+07
4500,1.11743e+07
4600,1.10113e+07
4300,9.85995e+06
4400,9.75756e+06
4200,9.20242e+06
4100,8.85924e+06
4000,7.99736e+06
3900,7.59613e+06
3800,7.11946e+06
3700,6.84977e+06
3600,6.67191e+06
3500,6.27264e+06
3400,5.92725e+06
3300,5.45643e+06
3200,5.14147e+06
3100,4.90333e+06
3000,4.22649e+06
2900,4.09145e+06
2800,3.82632e+06
2700,3.58487e+06
2600,3.31021e+06
2500,3.09136e+06
2400,2.70572e+06
2300,2.38537e+06
2200,2.18936e+06
2100,1.99396e+06
2000,1.75011e+06
1900,1.58842e+06
1800,1.41574e+06
1700,1.2313e+06
1600,1.06717e+06
1500,901805
1400,774952
1300,670620
1200,578540
1100,464632
1000,392894
