X,Y
4900,54508.2
4800,50598.5
4600,49841.5
4700,48085.7
4400,47014.3
4200,46560.2
4500,46293.3
4300,42683.3
4100,40792.1
4000,40330.7
3400,37925.2
3200,37826.1
3900,37513.3
3500,36494.9
3800,36003
3300,35977.7
3700,35608.5
3100,33948.8
3600,33433.9
3000,29791.6
2900,29453.3
2800,28141.6
2700,27586.8
2600,26330.7
2300,25246.2
2500,24217.5
2400,23565.9
2200,22764
2100,22644.5
1500,21244.8
1900,20907.3
2000,20697.2
1800,20383
1600,17333.9
1700,17175.4
1400,14153.3
1300,12866.5
1200,12759.1
1100,11794.6
1000,10378.9
