X,Y
4800,2.31666e+06
4900,2.28996e+06
4700,2.1615e+06
4600,2.12957e+06
4500,2.04907e+06
4400,1.99715e+06
4300,1.96672e+06
4200,1.93707e+06
4100,1.8031e+06
4000,1.74235e+06
3900,1.68744e+06
3800,1.6493e+06
3700,1.62029e+06
3600,1.55572e+06
3500,1.4472e+06
3400,1.43305e+06
3200,1.33903e+06
3300,1.32367e+06
3000,1.24486e+06
3100,1.22959e+06
2900,1.21966e+06
2800,1.12003e+06
2700,1.07789e+06
2600,992437
2500,941899
2400,882870
2300,852286
2200,813046
2100,748740
2000,705901
1900,661398
1800,617047
1700,589632
1600,532420
1500,494066
1400,482606
1300,427037
1200,384572
1100,370949
1000,324672
