X,Y
4900,2.39065e+06
4800,2.28768e+06
4600,2.27415e+06
4700,2.22654e+06
4500,2.14261e+06
4400,2.04558e+06
4300,2.00433e+06
4200,1.88325e+06
4100,1.82603e+06
4000,1.7771e+06
3900,1.71253e+06
3800,1.62012e+06
3600,1.5835e+06
3700,1.578e+06
3500,1.48161e+06
3400,1.40226e+06
3300,1.37034e+06
3200,1.33622e+06
3100,1.2779e+06
2800,1.22192e+06
3000,1.22129e+06
2900,1.22004e+06
2700,1.05881e+06
2600,991340
2500,954764
2400,916414
2300,874778
2200,827382
2100,795718
2000,744161
1800,682752
1900,665236
1700,582604
1600,533502
1500,523308
1400,444072
1300,402464
1200,361939
1100,336155
1000,287214
