X,Y
1000,8008.51
4900,7551.95
3600,7513.4
4300,7495.94
4800,7481.21
4500,7451.62
4600,7412.38
4000,7401.08
3800,7349.95
4700,7342.93
3900,7298.87
4400,7284.83
4200,7277.98
3700,7272.34
4100,7253.43
3400,7166.63
3300,7092.62
3100,7065.73
3500,6997.91
2600,6974.2
3200,6960.51
2900,6952.49
2400,6930.78
2700,6913.5
3000,6894.88
2800,6860.98
1100,6836.87
2500,6794.88
2000,6736.27
2100,6732.29
1300,6729.62
2300,6706.56
1600,6701.3
2200,6695.94
1900,6635.03
1200,6634.53
1800,6633.82
1700,6477.03
1500,6375.21
1400,6333.17
