X,Y
4000,8706.86
4100,8023.71
3900,7996.37
4500,7809.18
4300,7704.5
4700,7696.66
4400,7537.89
3300,7443.6
4800,7280.76
4600,7157.14
4900,7149.23
5000,7135.12
4200,7053.98
2600,6951.01
3200,6870.74
3100,6867.46
2100,6840.16
3600,6813.39
3700,6794.86
2000,6771.13
3400,6712.49
3800,6691.84
2500,6641.43
2300,6629.88
2400,6624.59
2700,6591.98
3500,6587.77
3000,6579.24
2200,6530.69
1900,6431.36
2800,6397.82
2900,6361.48
1700,6355.01
1800,6247.72
1400,6236.59
1000,6222.97
1600,6125.77
1500,6105.81
1100,6075.01
1300,6073.88
1200,6024.02
