X,Y
3400,7730.39
2900,7726.85
2700,7521.81
2200,7475.05
3100,7451.91
3000,7439.33
1600,7409.67
3300,7391.11
4900,7380.24
3200,7377.75
2400,7339.39
3500,7281.02
5000,7177.08
4600,7160.71
4800,7135.82
4700,7127.87
2500,7124.73
2800,7117.81
2100,7113.79
2000,7092.3
3600,7042.68
4500,7042.48
1900,7017.59
2300,7017.18
4200,7002.16
4100,6988.22
1500,6974.21
1700,6965.79
3700,6954.82
1800,6926.92
4000,6922.39
4300,6920.02
4400,6904.86
3800,6891.19
1400,6875.44
3900,6871.5
2600,6788.39
1300,6783.58
1200,6612.04
1100,6381.65
1000,6356.8
