X,Y
3900,10604.2
4100,10457.5
3700,9670.93
4200,8130.06
4000,7950.04
3800,7636.98
4400,7594.78
4500,7584.35
4300,7454.01
5000,7225.77
4600,7211.18
4800,7085.22
4700,7040.99
4900,6956.29
2200,6883.21
2900,6841.77
2000,6836.59
2500,6833.53
2100,6833.12
3000,6731.56
3600,6691.56
2600,6685.5
2800,6674.73
3100,6674.66
3400,6673.72
3500,6667.86
1900,6632.25
1800,6528.31
2700,6497.3
3200,6485.58
1200,6471.09
2400,6455.29
1700,6451.9
2300,6451.11
1300,6447.52
3300,6433.08
1000,6404.83
1600,6229.97
1100,6168.27
1500,6141.88
1400,6047.43
