X,Y
5000,4444.21
4900,4383.78
4800,4374.78
4700,4164.2
4600,4121.35
4500,4002.04
4400,3962.52
4300,3827.14
4200,3723.46
4100,3586.52
3700,3535.4
4000,3522.2
3600,3493.18
3900,3426.16
3500,3329.86
3800,3316.32
3400,3106.08
3300,3081.58
3100,2935.52
3200,2903.98
3000,2705.64
2800,2588.2
2900,2529.6
2700,2452.74
2600,2296.8
2500,2223.12
2400,2151
2300,2067.84
2100,2014.14
2200,1957.12
1800,1872.38
1900,1820.72
2000,1759.38
1700,1583.18
1600,1430
1500,1427.74
1400,1300.22
1100,1140.16
1300,1069.7
1200,1016.98
1000,885.68
