X,Y
5000,5318.05
4900,4804.91
4800,4724.34
4700,4563.34
4600,4311.62
4400,4295.13
4500,4204.85
4300,4182.72
4200,4134.72
4100,4100.72
4000,3826.66
3900,3694.2
3800,3556.9
3600,3494.78
3700,3435.82
3500,3355.92
3300,3289.84
3400,3286.28
3200,3000.52
3100,2935.98
2800,2786.86
2900,2776.08
3000,2708.9
2700,2628.16
2500,2513.24
2600,2410.16
2400,2294.64
2300,2109.8
2200,1964.38
2100,1943.8
2000,1806.22
1900,1737.98
1800,1532.9
1700,1505.48
1600,1382.56
1500,1268.42
1400,1247.06
1300,1161.9
1200,1079.94
1100,992.52
1000,865.76
